date,0x88ad09518695c6c3712AC10a214bE5109a655671
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,0.0
2020-08-20,0.1
2020-08-21,0.1
2020-08-22,0.3
2020-08-23,0.3
2020-08-24,0.3
2020-08-25,0.3
2020-08-26,0.3
2020-08-27,0.3
2020-08-28,0.3
2020-08-29,0.3
2020-08-30,0.3
2020-08-31,0.3
2020-09-01,0.3
2020-09-02,0.3
2020-09-03,0.3
2020-09-04,0.3
2020-09-05,0.3
2020-09-06,0.3
2020-09-07,0.3
2020-09-08,0.3
2020-09-09,0.3
2020-09-10,1.3
2020-09-11,3.8
2020-09-12,3.8
2020-09-13,3.8
2020-09-14,3.8
2020-09-15,3.8
2020-09-16,3.8
2020-09-17,3.8
2020-09-18,3.8
2020-09-19,3.8
2020-09-20,3.8
2020-09-21,3.8
2020-09-22,7.81000005586
2020-09-23,8.03331716788997
2020-09-24,9.03331716788997
2020-09-25,28.024819299857477
2020-09-26,17.43647812075076
2020-09-27,23.59687812075076
2020-09-28,23.674395119651766
2020-09-29,23.09320873868321
2020-09-30,22.311560903367663
2020-10-01,23.912181862119947
2020-10-02,25.257015310684075
2020-10-03,28.8577056746499
2020-10-04,31.169592818614102
2020-10-05,39.26668301412954
2020-10-06,52.01733484767356
2020-10-07,38.93184460092287
2020-10-08,65.39483451412853
2020-10-09,65.44483451412853
2020-10-10,75.54483451412854
2020-10-11,79.74483451412854
2020-10-12,78.39961957408185
2020-10-13,77.40011957408184
2020-10-14,93.90011957408184
2020-10-15,342.0451532732653
2020-10-16,677.5235843885143
2020-10-17,1265.603228724881
2020-10-18,1571.693057721948
2020-10-19,1548.6370727013025
2020-10-20,1646.9818022332154
2020-10-21,1517.0700837529164
2020-10-22,1612.182480741839
2020-10-23,1740.9992925216552
2020-10-24,1715.8701434122163
2020-10-25,1761.4700157748491
2020-10-26,1630.398560701345
2020-10-27,1634.5832559841392
2020-10-28,1540.7153760440565
2020-10-29,1237.4179945985268
2020-10-30,1367.4957700564328
2020-10-31,1374.6122777802946
2020-11-01,1386.3611586050984
2020-11-02,1528.8632345135454
2020-11-03,1948.924941393314
2020-11-04,1963.1236993216871
2020-11-05,1883.0700255350805
2020-11-06,1840.347033107412
2020-11-07,1786.2103318705406
2020-11-08,1719.3319850118814
2020-11-09,1674.8793776838545
2020-11-10,1666.5304895944296
2020-11-11,1479.57862161324
2020-11-12,1511.811579612078
2020-11-13,1469.379234747176
2020-11-14,1480.020820434392
2020-11-15,1442.9112134852155
2020-11-16,1435.573839868189
2020-11-17,1381.5134161724231
2020-11-18,1396.996519968234
2020-11-19,1390.3448109972974
2020-11-20,1407.8481071198885
2020-11-21,1350.1564374031875
2020-11-22,1318.090624544513
2020-11-23,1207.4039276348658
2020-11-24,1182.3174906273264
2020-11-25,1172.5569186117143
2020-11-26,1207.4625522536203
2020-11-27,1326.9192766670135
2020-11-28,1306.6684274744775
2020-11-29,1289.877967323048
2020-11-30,1265.4238607727018
2020-12-01,1246.382088445216
2020-12-02,813.213706840605
2020-12-03,789.558124961081
2020-12-04,782.8667219829931
2020-12-05,799.466518149985
2020-12-06,804.435079353118
2020-12-07,793.0706431389899
2020-12-08,795.1703927284244
2020-12-09,781.7533144354242
2020-12-10,766.220933242385
2020-12-11,770.2045747710981
2020-12-12,741.2585329967105
2020-12-13,729.0007561357788
2020-12-14,726.9564715174969
2020-12-15,737.8931116029672
2020-12-16,727.4977239472679
2020-12-17,697.3634530994558
2020-12-18,681.1339433249414
2020-12-19,683.1163163359391
2020-12-20,678.2519461099388
2020-12-21,678.6666435019013
2020-12-22,657.1575159391851
2020-12-23,657.9088301143964
2020-12-24,657.6882384927013
2020-12-25,651.7706866207401
2020-12-26,624.3752875454601
2020-12-27,553.9391692450072
2020-12-28,537.05703497642
2020-12-29,535.1337128715301
2020-12-30,530.2920423126302
2020-12-31,526.7206636910746
2021-01-01,532.7912724449492
2021-01-02,534.0012473657509
2021-01-03,529.9911126575854
2021-01-04,510.685740484246
2021-01-05,504.92567864493066
2021-01-06,496.02642949407385
2021-01-07,490.9704835172869
2021-01-08,488.6056862522631
2021-01-09,487.4817715111519
2021-01-10,598.252656000611
2021-01-11,602.3848753552214
2021-01-12,621.19357492704
2021-01-13,618.2648303883841
2021-01-14,615.199602644212
2021-01-15,604.1590782879633
2021-01-16,605.1769542500629
2021-01-17,601.9883929428137
2021-01-18,600.5091870554261
2021-01-19,602.3559000766271
2021-01-20,590.6601065299325
2021-01-21,476.8432442526292
2021-01-22,475.4810428320292
2021-01-23,473.55943213166256
2021-01-24,471.825774244899
2021-01-25,469.96204380524927
2021-01-26,462.1816562680758
2021-01-27,460.1364628179668
2021-01-28,460.0357032228798
2021-01-29,451.93540796233856
2021-01-30,446.3932407573779
2021-01-31,456.3998147443482
2021-02-01,455.2537615117969
2021-02-02,452.0758777627578
2021-02-03,451.6839707975159
2021-02-04,448.1489004868953
2021-02-05,453.5592729318622
2021-02-06,465.4582287310976
2021-02-07,481.16194068289707
2021-02-08,483.2409874990761
2021-02-09,484.5802923208636
2021-02-10,481.98489289790626
2021-02-11,492.9910598596612
2021-02-12,507.4622288966802
2021-02-13,504.55653858239424
2021-02-14,508.435031626986
2021-02-15,512.9052341271685
2021-02-16,514.4530543172227
2021-02-17,512.8905373723142
2021-02-18,586.5143292814787
2021-02-19,589.1660537937152
2021-02-20,602.0296251464367
2021-02-21,643.075344610226
2021-02-22,669.1811589561607
2021-02-23,666.8610804631953
2021-02-24,691.431582494432
2021-02-25,791.5096949920841
2021-02-26,797.6368372518629
2021-02-27,802.1744421301721
2021-02-28,830.9223478904578
2021-03-01,967.8582886782916
2021-03-02,1085.8232225944553
2021-03-03,1250.1015501627005
2021-03-04,1336.9914109306276
2021-03-05,1632.387888494441
2021-03-06,2218.735716795007
2021-03-07,2559.583464837925
2021-03-08,2613.138060595725
2021-03-09,2699.644630997587
2021-03-10,2654.080823410034
2021-03-11,2665.5588836606694
2021-03-12,2780.4760996932855
2021-03-13,2798.0322227894376
2021-03-14,2836.6410953758746
2021-03-15,2814.571566157129
2021-03-16,3152.4668988188355
2021-03-17,3299.6126761110027
2021-03-18,3331.473788465005
2021-03-19,3453.5252537129254
2021-03-20,3462.3585794805754
2021-03-21,3410.7711803741727
2021-03-22,3191.2854723535215
2021-03-23,3101.961555809478
2021-03-24,3112.8146987566492
2021-03-25,3258.1579161741247
2021-03-26,3045.2037008723632
2021-03-27,3062.685971348524
2021-03-28,2934.068119811421
2021-03-29,2942.883992978675
2021-03-30,2898.0444833662045
2021-03-31,3018.8638991966345
2021-04-01,3024.6094131310033
2021-04-02,2959.9097146167956
2021-04-03,2945.821489946625
2021-04-04,2923.7564663121434
2021-04-05,2884.979593926134
2021-04-06,3690.323513221205
2021-04-07,3692.007595938413
2021-04-08,3824.1612713933655
2021-04-09,3984.364439742677
2021-04-10,3970.78738351836
2021-04-11,3952.100882836514
2021-04-12,3906.9392509165714
2021-04-13,3835.0189565764
2021-04-14,3831.1645444136193
2021-04-15,3808.883218992054
2021-04-16,3725.659247623209
2021-04-17,3712.330797791433
2021-04-18,3713.147282571403
2021-04-19,3580.792259591936
2021-04-20,3576.166555405599
2021-04-21,3590.6561250780564
2021-04-22,3627.525688769269
2021-04-23,3572.9497613861154
2021-04-24,3495.6314528515
2021-04-25,3498.1764822831205
2021-04-26,3463.0433625004307
2021-04-27,3390.002792498721
2021-04-28,3310.782689519897
2021-04-29,3359.124614328705
2021-04-30,3339.52277637041
2021-05-01,3345.0399601593494
2021-05-02,3335.303929162058
2021-05-03,3278.0555996954135
2021-05-04,3179.178764807075
2021-05-05,3137.017138275649
2021-05-06,3111.9273991301575
2021-05-07,3093.9478991301576
2021-05-08,3210.786781295325
2021-05-09,3570.329645897352
2021-05-10,3516.5249015739996
2021-05-11,3511.9012320521906
2021-05-12,3496.366782052191
2021-05-13,3464.898282052191
2021-05-14,3460.300882069062
2021-05-15,3458.964602895066
2021-05-16,3449.9606806524716
2021-05-17,3438.551667554567
2021-05-18,3456.7945364397824
2021-05-19,3447.813535183486
2021-05-20,3475.948325507464
2021-05-21,3474.5189711109465
2021-05-22,3489.587600283839
2021-05-23,3447.0059789006605
2021-05-24,3435.176926907074
2021-05-25,3407.3542528609887
2021-05-26,3392.4082856851437
2021-05-27,3379.4950236757004
2021-05-28,3355.091172891398
2021-05-29,3343.70309178556
2021-05-30,3384.020918046703
2021-05-31,3368.50956380254
2021-06-01,3355.988513930443
2021-06-02,2478.9417553989033
2021-06-03,2618.2438729168907
2021-06-04,2746.4678700878694
2021-06-05,2759.1118117031288
2021-06-06,2950.6704081497123
2021-06-07,2954.129662704706
2021-06-08,2934.0292780206746
2021-06-09,2921.4816176649047
2021-06-10,2855.4321696784555
2021-06-11,2880.3327199763166
2021-06-12,2730.229242982596
2021-06-13,2703.6424397200894
2021-06-14,2663.433030144639
2021-06-15,2646.1214714277185
2021-06-16,2612.5580508807902
2021-06-17,2621.264974063901
2021-06-18,2614.310507948153
2021-06-19,2573.658990750585
2021-06-20,2549.924979951888
2021-06-21,2555.59423071905
2021-06-22,2593.742580570056
2021-06-23,2558.0302721575063
2021-06-24,2557.1559802667543
2021-06-25,2500.4484946044563
2021-06-26,2687.7925493148996
2021-06-27,2716.47951145832
2021-06-28,2625.882455994454
2021-06-29,2594.4282303673026
2021-06-30,2575.9835402734707
2021-07-01,2620.4740575559817
2021-07-02,2617.5194450916174
2021-07-03,2621.0355875974424
2021-07-04,2603.5023818972363
2021-07-05,2597.945934388401
2021-07-06,2570.258151489783
2021-07-07,2563.6571100642027
2021-07-08,2559.3070611147377
2021-07-09,2556.3535257482545
2021-07-10,2556.085101805379
2021-07-11,2552.6963449727828
2021-07-12,2546.3461229216273
2021-07-13,2531.1914360741075
2021-07-14,2528.2596489322946
2021-07-15,2535.269799785928
2021-07-16,2529.8474820364845
2021-07-17,2528.0385886581957
2021-07-18,2510.5947398818894
2021-07-19,2506.591242168815
2021-07-20,2502.0631793076477
2021-07-21,2499.5488455391337
2021-07-22,2478.7146736410723
2021-07-23,2918.214306802687
2021-07-24,3107.089070089777
2021-07-25,3099.2560935943084
2021-07-26,3148.272203845364
2021-07-27,3480.7588747738587
2021-07-28,3430.816445840436
2021-07-29,3388.2334300811494
2021-07-30,3402.6210553908472
2021-07-31,3387.1665387911276
2021-08-01,3364.028369605567
2021-08-02,3372.8880170210286
2021-08-03,3387.6809365021327
2021-08-04,3368.6243690266883
2021-08-05,3385.0459446890454
2021-08-06,3350.5036031239297
2021-08-07,3535.4790352501464
2021-08-08,3519.769242154062
2021-08-09,3497.8554507952413
2021-08-10,3560.0154525846956
2021-08-11,3573.390910630213
2021-08-12,3520.519065220327
2021-08-13,3583.124298166247
2021-08-14,3480.2854341550997
2021-08-15,3406.6524518994433
2021-08-16,3409.2324555897035
2021-08-17,3405.99675048331
2021-08-18,3392.052794733685
2021-08-19,3389.9949401636622
2021-08-20,3382.39112268684
2021-08-21,3361.2454582287346
2021-08-22,3362.1067381305743
2021-08-23,3365.057014702472
2021-08-24,3588.4444400254683
2021-08-25,3589.2363471109948
2021-08-26,3583.5569232226353
2021-08-27,3570.4183484035275
2021-08-28,3552.4163684035275
2021-08-29,3553.258542891347
2021-08-30,3539.718082820581
2021-08-31,3537.3052497860986
2021-09-01,3514.1911904987473
2021-09-02,3485.040980320225
2021-09-03,3472.275643812804
2021-09-04,3454.1629887982585
2021-09-05,3456.008906594998
2021-09-06,3446.394203639607
2021-09-07,3452.464178668043
2021-09-08,3443.6985173039966
2021-09-09,3471.1600253646384
2021-09-10,3258.449076148561
2021-09-11,3276.6577919571364
2021-09-12,3382.863450379939
2021-09-13,3389.722318540056
2021-09-14,3425.0963295104193
2021-09-15,3414.086438274312
2021-09-16,3422.7746199587505
2021-09-17,3260.4990309496015
2021-09-18,3259.869165072589
2021-09-19,3268.3504929902547
2021-09-20,3279.8823334586305
2021-09-21,3298.2386229156987
2021-09-22,3438.943053231912
2021-09-23,3434.7549185579096
2021-09-24,3554.5850076402335
2021-09-25,3588.3257346376536
2021-09-26,3582.2246253396156
2021-09-27,3592.6160143494926
2021-09-28,3594.0874349326864
2021-09-29,3598.684197513786
2021-09-30,3592.095529125315
2021-10-01,3593.2634607729055
2021-10-02,3584.0172536001096
2021-10-03,3579.2195792077214
2021-10-04,3569.8251198596236
2021-10-05,3446.3522819526834
2021-10-06,3444.8676843808257
2021-10-07,3436.437372282284
2021-10-08,3498.106061935391
2021-10-09,3480.3851923265756
2021-10-10,3332.9258023214165
2021-10-11,3326.179937962093
2021-10-12,3323.707691989863
2021-10-13,3345.1305831087516
2021-10-14,3320.6346648346057
2021-10-15,3843.076387791514
2021-10-16,3865.7285015356256
2021-10-17,3858.138522752501
2021-10-18,3743.11289918675
2021-10-19,3730.3369034451825
2021-10-20,3700.389582383358
2021-10-21,3696.467561596431
2021-10-22,3664.3629021163424
2021-10-23,3603.9545398216624
2021-10-24,3648.623851311359
2021-10-25,3647.266447312076
2021-10-26,3782.8330329437927
2021-10-27,3777.743259278839
2021-10-28,3761.2418975467376
2021-10-29,3754.319999732987
2021-10-30,3734.1514673737897
2021-10-31,3722.468100609455
2021-11-01,3716.6052302803246
2021-11-02,3545.060386482635
2021-11-03,3525.77240486409
2021-11-04,3496.307787413652
2021-11-05,3482.0155129793634
2021-11-06,3389.022893883846
2021-11-07,3402.357959483846
2021-11-08,3368.6049997307505
2021-11-09,3379.5426366248003
2021-11-10,3379.6956800660137
2021-11-11,3370.493698660979
2021-11-12,3357.1719545262363
2021-11-13,3279.381680843833
2021-11-14,3289.381680843833
2021-11-15,3277.7975640637146
2021-11-16,3256.0485808973945
2021-11-17,3255.729398594674
2021-11-18,3257.032956821032
2021-11-19,3255.3426588010607
2021-11-20,3255.3541588010607
2021-11-21,3303.3248638875307
2021-11-22,3289.694168792648
2021-11-23,3440.331698679631
2021-11-24,3481.156727020061
2021-11-25,3447.7041589775636
2021-11-26,3465.875385154144
2021-11-27,3469.041289429713
2021-11-28,3481.5065251817673
2021-11-29,3479.383286481076
2021-11-30,3484.0623792562874
2021-12-01,3483.23747553681
2021-12-02,3456.8568141230435
2021-12-03,3421.3734220567567
2021-12-04,3417.7133053325806
2021-12-05,3401.7133053325806
2021-12-06,3401.222516505053
2021-12-07,3398.991741754397
2021-12-08,3386.7165868422676
2021-12-09,3385.573000597491
2021-12-10,3379.7044776614925
2021-12-11,3366.4250979910207
2021-12-12,3369.700654249575
2021-12-13,3379.6057651414712
2021-12-14,3584.0906331104397
2021-12-15,3596.2783920048137
2021-12-16,3568.188504173976
2021-12-17,3603.4002053500985
2021-12-18,3605.9199087382185
2021-12-19,3597.407133562435
2021-12-20,3601.6387684504393
2021-12-21,3624.501063699101
2021-12-22,3696.918889195833
2021-12-23,3736.250508625419
2021-12-24,3731.962867368754
2021-12-25,3750.783323059086
2021-12-26,3605.9144207506592
2021-12-27,3600.4705680823477
2021-12-28,3546.2533300991327
2021-12-29,3531.3969999020633
2021-12-30,3554.600218853596
2021-12-31,3581.688775331779
2022-01-01,3608.959983447487
2022-01-02,3618.764601811773
2022-01-03,3629.312409097061
2022-01-04,3646.725335702298
2022-01-05,3637.628378947257
2022-01-06,3637.466706541813
2022-01-07,3724.046667135003
2022-01-08,3717.140661257393
2022-01-09,4345.417443582125
2022-01-10,4346.201319668855
2022-01-11,4347.980501793339
2022-01-12,4364.510392691906
2022-01-13,4352.0683237664925
2022-01-14,4446.380570537412
2022-01-15,4424.176910961845
2022-01-16,4587.294512078707
2022-01-17,4592.884542124068
2022-01-18,4805.944150906721
2022-01-19,4633.765246204836
2022-01-20,4619.7929559272925
2022-01-21,4606.4957994416
2022-01-22,6392.010417019875
2022-01-23,6462.524366146038
2022-01-24,6453.258909045656
2022-01-25,6500.558512732218
2022-01-26,6504.842721236624
2022-01-27,6489.304100850429
2022-01-28,6813.447223086299
2022-01-29,6820.982299935545
2022-01-30,6796.329166592488
2022-01-31,6798.568868870448
2022-02-01,6801.505519630184
2022-02-02,6804.553409938496
2022-02-03,7192.699979162038
2022-02-04,7250.246999778051
2022-02-05,7221.309859674589
2022-02-06,7208.160755229417
2022-02-07,7230.417334340358
2022-02-08,7206.725281788597
2022-02-09,7293.569757260319
2022-02-10,7291.938581282096
2022-02-11,7961.212403257059
2022-02-12,8016.289791523272
2022-02-13,8030.308091365261
2022-02-14,8095.974271329112
2022-02-15,8141.550593007583
2022-02-16,8120.142893260697
2022-02-17,8179.642928912441
2022-02-18,8181.242542872478
2022-02-19,8262.902096576556
2022-02-20,8273.591881668985
2022-02-21,8395.304131217126
2022-02-22,8405.05594269959
2022-02-23,8412.783983887535
2022-02-24,8790.319438819326
2022-02-25,8994.815533175048
2022-02-26,8943.42095929551
2022-02-27,8921.079031965248
2022-02-28,8893.435016981099
2022-03-01,8865.482879966588
2022-03-02,8803.41304978521
2022-03-03,8804.569755993609
2022-03-04,8852.913969875242
2022-03-05,8970.28118944541
2022-03-06,9027.80639727528
2022-03-07,9001.794917583173
2022-03-08,9052.668406305867
2022-03-09,9093.702471959725
2022-03-10,9045.995913648938
2022-03-11,8900.260030440097
2022-03-12,8890.596135179616
2022-03-13,8901.045486214567
2022-03-14,8871.17789683066
2022-03-15,8804.171149540085
2022-03-16,8175.441618033485
2022-03-17,8094.816601697155
2022-03-18,8167.096162657424
2022-03-19,8165.030031252966
2022-03-20,8061.652316563834
2022-03-21,8088.998317745402
2022-03-22,8083.998136507757
2022-03-23,8059.155602055292
2022-03-24,8049.163165612442
2022-03-25,7883.191222247623
2022-03-26,7842.693972782853
2022-03-27,7841.624855320019
2022-03-28,7920.870177517132
2022-03-29,8820.373557962057
2022-03-30,9329.200857130185
2022-03-31,9239.333770836523
2022-04-01,9129.172402673708
2022-04-02,9119.685946792091
2022-04-03,9029.828950110894
2022-04-04,9018.91671081261
2022-04-05,8800.345397088397
2022-04-06,8805.273507584769
2022-04-07,8761.052810602501
2022-04-08,8787.166761247841
2022-04-09,8769.727298055745
2022-04-10,8749.545745191544
2022-04-11,8738.018019816214
2022-04-12,8600.773947539274
2022-04-13,8579.409605364173
2022-04-14,8572.201544050204
2022-04-15,8578.92139998538
2022-04-16,8557.149625937476
2022-04-17,8550.415250604108
2022-04-18,8552.7052256879
2022-04-19,8494.015420219368
2022-04-20,8500.140307895754
2022-04-21,8487.438248145789
2022-04-22,8486.662147437315
2022-04-23,8480.586362247173
2022-04-24,8472.15080882501
2022-04-25,8482.01563681229
2022-04-26,8503.472409181286
2022-04-27,8496.231420218415
2022-04-28,8836.771193683426
2022-04-29,8874.465243353123
2022-04-30,8862.643671800904
2022-05-01,8796.521003776841
2022-05-02,8736.351013996536
2022-05-03,8682.887771301503
2022-05-04,8646.38602295886
2022-05-05,8626.423315760065
2022-05-06,8721.466605299605
2022-05-07,8693.238399614202
2022-05-08,8697.991491037255
2022-05-09,8708.090097250559
2022-05-10,8696.222692321864
2022-05-11,8704.323305202724
2022-05-12,8706.760380066795
2022-05-13,8707.09397374267
2022-05-14,8712.495921169835
2022-05-15,8679.109318239933
2022-05-16,8720.53521878509
2022-05-17,8722.836610036808
2022-05-18,8722.44732650257
2022-05-19,8701.044581060023
2022-05-20,8705.116645068501
2022-05-21,8696.424882064013
2022-05-22,8686.922675349868
2022-05-23,9066.646264820118
2022-05-24,9065.983099820742
2022-05-25,9090.076117094
2022-05-26,9087.25350406386
2022-05-27,9186.865209491856
2022-05-28,9583.088927613484
2022-05-29,9633.25420959002
2022-05-30,9656.404299948956
2022-05-31,9669.734211690158
2022-06-01,10287.96097136502
2022-06-02,10216.33472960477
2022-06-03,10799.597269678485
2022-06-04,10800.029862694597
2022-06-05,10854.919000791844
2022-06-06,10883.074810175527
2022-06-07,10896.295162235554
2022-06-08,10852.827984488906
2022-06-09,10868.977551493592
2022-06-10,10932.423962988292
2022-06-11,10776.193702100778
2022-06-12,10863.431535180029
2022-06-13,10856.429275955848
2022-06-14,10701.73897145563
2022-06-15,10603.588072627655
2022-06-16,10674.893935511413
2022-06-17,10803.760465925072
2022-06-18,10826.939363104462
2022-06-19,11013.153004598596
2022-06-20,10968.63303795461
2022-06-21,11014.562353051511
2022-06-22,10969.163855280069
2022-06-23,10923.37291684132
2022-06-24,10921.961981284338
2022-06-25,10830.917604842496
2022-06-26,10763.543104581206
2022-06-27,10688.867186271951
2022-06-28,10748.701131682115
2022-06-29,10834.701489322892
2022-06-30,10953.803573215164
2022-07-01,10972.792009958484
2022-07-02,11096.131339363104
2022-07-03,10996.960019933362
2022-07-04,11077.824786487665
2022-07-05,11073.551037963907
2022-07-06,11263.401147217295
2022-07-07,11310.3196723662
2022-07-08,11352.920471895904
2022-07-09,11346.382535180484
2022-07-10,11282.040668754456
2022-07-11,11246.459875173456
2022-07-12,11300.724201101
2022-07-13,11478.913741141088
2022-07-14,11454.016293126777
2022-07-15,11462.196565964538
2022-07-16,11548.205975104976
2022-07-17,11511.540372030606
2022-07-18,11360.461145831365
2022-07-19,11217.962413651125
2022-07-20,11059.154712924288
2022-07-21,11017.523090811932
2022-07-22,11057.721495275782
2022-07-23,11036.073908285412
2022-07-24,10935.55530311685
2022-07-25,10996.301780525177
2022-07-26,11143.030688112478
2022-07-27,11146.01532568038
2022-07-28,11120.722204818265
2022-07-29,11174.71634311654
2022-07-30,11025.650337733809
2022-07-31,11032.523178168538
2022-08-01,11069.47004839274
2022-08-02,11033.496390106238
2022-08-03,11181.303866263575
2022-08-04,11110.626862792
2022-08-05,11073.235758639146
2022-08-06,11016.392884505109
2022-08-07,10808.812067370354
2022-08-08,10702.856175228866
2022-08-09,10609.91777270544
2022-08-10,10360.854373681008
2022-08-11,10290.56410880774
2022-08-12,10087.450713875827
2022-08-13,10011.742507207868
2022-08-14,9957.428965999994
2022-08-15,9938.153029948882
2022-08-16,9928.109876744464
2022-08-17,10339.680637430962
2022-08-18,10155.00158876374
2022-08-19,10328.547104378804
2022-08-20,10388.093698426026
2022-08-21,10390.907541343053
2022-08-22,10345.672169487516
2022-08-23,10469.911915194603
2022-08-24,10450.40905296217
2022-08-25,10448.253848708056
2022-08-26,10421.794305237929
2022-08-27,10397.307462160916
2022-08-28,10444.251972109649
2022-08-29,10446.812087270637
2022-08-30,10375.03350470593
2022-08-31,10374.126624115695
2022-09-01,10249.37776727882
2022-09-02,10252.68181171967
2022-09-03,10216.62253877422
2022-09-04,10197.163236237571
2022-09-05,10148.55588564783
2022-09-06,10119.965939303807
2022-09-07,10063.82046603779
2022-09-08,10056.13046603779
2022-09-09,10048.526654887582
2022-09-10,10016.898976929497
2022-09-11,9965.93687273516
2022-09-12,9783.40711992462
2022-09-13,9610.747918800844
2022-09-14,9619.948765820618
2022-09-15,9527.550002853372
2022-09-16,9712.692227497108
2022-09-17,9932.657000005238
2022-09-18,9808.657000005238
2022-09-19,9893.747333611223
2022-09-20,10339.454433730318
2022-09-21,10254.459500434124
2022-09-22,10523.532210354124
2022-09-23,10779.585878570151
2022-09-24,10993.264609008196
2022-09-25,10880.429297346249
2022-09-26,11044.483478504391
2022-09-27,11251.545376897204
2022-09-28,11231.813396897214
2022-09-29,11133.413451348157
2022-09-30,11007.39605995978
2022-10-01,10890.063032651347
2022-10-02,10895.008032651347
2022-10-03,10680.535687394166
2022-10-04,10680.522941832867
2022-10-05,10467.583410105708
2022-10-06,10268.433058058949
2022-10-07,10221.665047042545
2022-10-08,10203.682446201505
2022-10-09,10203.68878228367
2022-10-10,10202.59070958788
2022-10-11,10178.465326665204
2022-10-12,10176.270847196714
2022-10-13,10065.688615983068
2022-10-14,9991.8500242686
2022-10-15,9971.95550729082
2022-10-16,9971.95550729082
2022-10-17,9996.312154980427
2022-10-18,9995.896106069007
2022-10-19,10001.800052757908
2022-10-20,9992.257205134178
2022-10-21,9992.156809553737
2022-10-22,9991.956809553736
2022-10-23,9971.845863791124
2022-10-24,9973.657363791126
2022-10-25,9967.379182271285
2022-10-26,9905.06924636914
2022-10-27,9851.146480672334
2022-10-28,9823.15458556505
2022-10-29,9776.185730992804
2022-10-30,9705.603991008798
