date,0xeae57ce9cc1984F202e15e038B964bb8bdF7229a
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,0.0
2020-09-12,0.2
2020-09-13,0.22
2020-09-14,4.774597
2020-09-15,0.522397
2020-09-16,99.343397
2020-09-17,197.501397
2020-09-18,124.553397
2020-09-19,127.91993
2020-09-20,116.93993
2020-09-21,147.10593
2020-09-22,147.24893
2020-09-23,146.84093
2020-09-24,111.39793
2020-09-25,111.96453
2020-09-26,109.98752999999999
2020-09-27,110.15553
2020-09-28,110.25553
2020-09-29,110.88453
2020-09-30,100.02853
2020-10-01,91.47673
2020-10-02,316.61473
2020-10-03,322.31473
2020-10-04,323.51473
2020-10-05,324.224039
2020-10-06,326.300321
2020-10-07,332.693652
2020-10-08,333.453566
2020-10-09,333.559371
2020-10-10,332.146371
2020-10-11,328.248206
2020-10-12,332.348706
2020-10-13,332.353706
2020-10-14,335.728706
2020-10-15,309.261706
2020-10-16,309.439706
2020-10-17,309.615706
2020-10-18,309.906706
2020-10-19,309.906706
2020-10-20,304.006706
2020-10-21,311.082706
2020-10-22,311.538706
2020-10-23,324.005706
2020-10-24,311.950706
2020-10-25,312.149706
2020-10-26,314.08336576696
2020-10-27,314.08736576696
2020-10-28,773.51675876696
2020-10-29,836.69736776696
2020-10-30,881.58736776696
2020-10-31,916.08736776696
2020-11-01,910.4319692792668
2020-11-02,1018.9180692792668
2020-11-03,1041.3189502792668
2020-11-04,1042.2199902792668
2020-11-05,1042.2320902792667
2020-11-06,1592.4341152792667
2020-11-07,1665.6746152792668
2020-11-08,1683.0539342792667
2020-11-09,1699.8051862792668
2020-11-10,1701.0102142792668
2020-11-11,1704.3003142792668
2020-11-12,1705.3137663792668
2020-11-13,1706.1937663792667
2020-11-14,1927.1037403792668
2020-11-15,1891.9290903792669
2020-11-16,1829.6947223792668
2020-11-17,1829.6950123792667
2020-11-18,1826.6335483792668
2020-11-19,1825.4201023792668
2020-11-20,1825.4201023792668
2020-11-21,1873.5252023792668
2020-11-22,1860.6737953792667
2020-11-23,1855.7437393792668
2020-11-24,1840.4298083792667
2020-11-25,1601.5954073792668
2020-11-26,1591.7393463792669
2020-11-27,1554.4088183792667
2020-11-28,1554.4088183792667
2020-11-29,1542.6653113792668
2020-11-30,1541.6653113792668
2020-12-01,1542.1822583792668
2020-12-02,1538.9314553792667
2020-12-03,1525.0054543792667
2020-12-04,1495.9941523792668
2020-12-05,1496.2776523792668
2020-12-06,1496.9058523792667
2020-12-07,1489.9583173792669
2020-12-08,1487.6414713792667
2020-12-09,1491.5469713792668
2020-12-10,1492.7039613792667
2020-12-11,1495.1740093792669
2020-12-12,1495.1637243792668
2020-12-13,1496.3237243792669
2020-12-14,1496.5137243792667
2020-12-15,1496.6663773792668
2020-12-16,1499.0860183792668
2020-12-17,1504.7020183792667
2020-12-18,1504.9740183792667
2020-12-19,1506.4970183792668
2020-12-20,1506.9480183792668
2020-12-21,1510.1713183792667
2020-12-22,1515.1099909687669
2020-12-23,1542.5538337391256
2020-12-24,1536.7288337391255
2020-12-25,1538.217484222948
2020-12-26,1499.9053642229483
2020-12-27,1496.479582529994
2020-12-28,1507.991582529994
2020-12-29,1510.178190529994
2020-12-30,1518.649190529994
2020-12-31,1517.7121357204626
2021-01-01,1514.3412627204625
2021-01-02,1514.4712627204624
2021-01-03,1511.9158457204626
2021-01-04,1513.7230825230115
2021-01-05,1515.9340825230115
2021-01-06,1525.2091115230114
2021-01-07,1524.5701115230113
2021-01-08,1775.5904485230114
2021-01-09,1777.3204485230115
2021-01-10,1777.0714775230115
2021-01-11,1765.3388845230113
2021-01-12,1737.6328835230115
2021-01-13,1728.2574405230114
2021-01-14,1333.5405165830114
2021-01-15,1275.6780515830114
2021-01-16,1088.3838315830114
2021-01-17,1088.2828315830113
2021-01-18,1086.5188315830114
2021-01-19,1097.5212714693196
2021-01-20,1070.7478354693196
2021-01-21,1008.7528354693196
2021-01-22,1009.2318354693195
2021-01-23,975.5598354693196
2021-01-24,975.3951684693196
2021-01-25,946.3421684693196
2021-01-26,946.6531864693196
2021-01-27,1457.7177464693195
2021-01-28,1460.0457464693195
2021-01-29,1425.4447464693196
2021-01-30,1425.2082514693195
2021-01-31,1424.6764514693195
2021-02-01,1425.3189304693196
2021-02-02,1385.4241338093195
2021-02-03,1350.6281338093197
2021-02-04,1349.9221338093196
2021-02-05,1369.4501338093196
2021-02-06,1391.9906060793196
2021-02-07,1393.5446060793197
2021-02-08,1393.8046060793197
2021-02-09,1394.4933410793196
2021-02-10,1401.2506980793196
2021-02-11,1424.5186980793196
2021-02-12,1435.1621980793195
2021-02-13,1437.4409730793195
2021-02-14,1439.4229730793195
2021-02-15,1441.8459730793195
2021-02-16,1442.7149730793196
2021-02-17,1456.1985070793196
2021-02-18,1465.0751730793195
2021-02-19,1476.4981730793195
2021-02-20,1506.5791730793196
2021-02-21,1648.3616550793197
2021-02-22,1651.6642960793197
2021-02-23,1769.4513144793195
2021-02-24,1946.3801864793195
2021-02-25,3106.8276214793195
2021-02-26,3160.5678634793194
2021-02-27,2921.9570294793198
2021-02-28,2927.6323464793195
2021-03-01,2952.2557564793196
2021-03-02,4884.00219747932
2021-03-03,4948.27782747932
2021-03-04,4931.857669479319
2021-03-05,4907.55266947932
2021-03-06,5412.32422647932
2021-03-07,5157.179014479319
2021-03-08,5168.159654479319
2021-03-09,5338.418692479319
2021-03-10,5615.27367458932
2021-03-11,5641.650534589319
2021-03-12,6370.38965325932
2021-03-13,6529.78963825932
2021-03-14,6434.8792669593195
2021-03-15,6521.27165795932
2021-03-16,6632.591146959319
2021-03-17,6717.83751295932
2021-03-18,5266.41361485932
2021-03-19,5138.94694185932
2021-03-20,5139.856926859319
2021-03-21,5230.043620859319
2021-03-22,5316.5841028593195
2021-03-23,5324.901529859319
2021-03-24,5362.86636885932
2021-03-25,5404.60181685932
2021-03-26,5404.476572859319
2021-03-27,5574.49509585932
2021-03-28,8575.108040859319
2021-03-29,8609.69205885932
2021-03-30,8798.72167585932
2021-03-31,8876.918719859319
2021-04-01,8886.19842885932
2021-04-02,8825.50733685932
2021-04-03,8659.64977685932
2021-04-04,8714.57071785932
2021-04-05,8702.61842585932
2021-04-06,8767.27783385932
2021-04-07,8847.50560085932
2021-04-08,9397.852452211195
2021-04-09,9568.933598211195
2021-04-10,9710.560510211195
2021-04-11,9763.417245211196
2021-04-12,9783.468657211195
2021-04-13,9866.425385211196
2021-04-14,9966.303272881196
2021-04-15,9977.297014881195
2021-04-16,10011.475263881195
2021-04-17,10050.254576881196
2021-04-18,9983.608389881196
2021-04-19,9782.131773881196
2021-04-20,14850.588527881195
2021-04-21,14831.813008881196
2021-04-22,14832.675049881196
2021-04-23,14888.371025881195
2021-04-24,14895.791094881195
2021-04-25,14904.916961881196
2021-04-26,15097.705527881195
2021-04-27,15225.566689881196
2021-04-28,15435.399993881196
2021-04-29,15547.797425881196
2021-04-30,15577.512175841133
2021-05-01,15621.602714841134
2021-05-02,15548.104659341134
2021-05-03,15382.332121341135
2021-05-04,15390.883144341135
2021-05-05,15287.384557341134
2021-05-06,15288.957785341134
2021-05-07,15131.599314341134
2021-05-08,16026.228966341134
2021-05-09,16059.370784341134
2021-05-10,16054.169176341135
2021-05-11,16032.057803469133
2021-05-12,15994.622827369134
2021-05-13,16011.907211369135
2021-05-14,15984.514322369134
2021-05-15,15779.138076369134
2021-05-16,15738.560460369134
2021-05-17,15669.813298369134
2021-05-18,15629.273514865134
2021-05-19,15879.102625865135
2021-05-20,15743.275894865134
2021-05-21,15698.979114865133
2021-05-22,15844.821553349133
2021-05-23,15698.760821349133
2021-05-24,15645.665754349133
2021-05-25,15663.025691349134
2021-05-26,15699.083177349134
2021-05-27,15769.364317349135
2021-05-28,15914.356280808894
2021-05-29,15891.637155808894
2021-05-30,15914.697966808893
2021-05-31,16640.390969808894
2021-06-01,16402.012748808895
2021-06-02,16420.441185408894
2021-06-03,16424.089046969893
2021-06-04,16381.946168969893
2021-06-05,16376.794136969893
2021-06-06,16358.441477969895
2021-06-07,16464.379014969894
2021-06-08,16313.679901969894
2021-06-09,16315.761908969893
2021-06-10,16281.867277969894
2021-06-11,16245.765564969894
2021-06-12,16370.323205969893
2021-06-13,16385.187455969895
2021-06-14,16381.918629939893
2021-06-15,16361.494475939893
2021-06-16,16349.206825939893
2021-06-17,16150.898003939894
2021-06-18,16164.151107939893
2021-06-19,16161.343344939894
2021-06-20,16148.899931939894
2021-06-21,16143.032368529894
2021-06-22,16116.309427529894
2021-06-23,16116.798236529894
2021-06-24,16120.318710529893
2021-06-25,16110.110088529893
2021-06-26,15943.595552529894
2021-06-27,15941.309904529893
2021-06-28,15935.872072529894
2021-06-29,15940.009853529893
2021-06-30,15921.942497529893
2021-07-01,15908.098432529894
2021-07-02,15875.905591529894
2021-07-03,15865.584447529895
2021-07-04,15598.831573529893
2021-07-05,15598.667599529894
2021-07-06,15604.484071529894
2021-07-07,15610.259441529894
2021-07-08,15593.100914529894
2021-07-09,15603.387237529894
2021-07-10,15595.510044529894
2021-07-11,15667.714622529893
2021-07-12,15664.703190529894
2021-07-13,15682.635687529893
2021-07-14,15669.804785529894
2021-07-15,15658.465114529894
2021-07-16,15617.798710529894
2021-07-17,15562.993307529894
2021-07-18,15558.280647529893
2021-07-19,15556.913462529894
2021-07-20,15539.394668529894
2021-07-21,15537.049511529895
2021-07-22,15540.688836529895
2021-07-23,15555.089978529893
2021-07-24,15583.463806529893
2021-07-25,15635.476302529894
2021-07-26,15642.501355529894
2021-07-27,15609.710444529894
2021-07-28,15591.755633529894
2021-07-29,15563.278202529893
2021-07-30,15560.497735529894
2021-07-31,15571.273470529894
2021-08-01,15551.134437529894
2021-08-02,15538.210919529894
2021-08-03,15528.471160529894
2021-08-04,15513.961145529895
2021-08-05,15505.384707529895
2021-08-06,15494.966195529894
2021-08-07,15498.086177529894
2021-08-08,15495.097984529893
2021-08-09,15487.806572529893
2021-08-10,15494.265617529894
2021-08-11,15464.385246529893
2021-08-12,15436.786115529894
2021-08-13,15453.039540529893
2021-08-14,15464.784285029893
2021-08-15,15456.465375029893
2021-08-16,15454.429545029894
2021-08-17,15513.072000029893
2021-08-18,15564.822054029893
2021-08-19,15646.866603029894
2021-08-20,13382.675347029894
2021-08-21,13359.554958029894
2021-08-22,13362.205622029895
2021-08-23,13362.972960829893
2021-08-24,13200.784853829893
2021-08-25,13201.230981557737
2021-08-26,13193.605227557737
2021-08-27,13146.674840557736
2021-08-28,13304.972603557737
2021-08-29,12995.574352557736
2021-08-30,12928.109100557736
2021-08-31,12875.229079557737
2021-09-01,12914.395102557737
2021-09-02,13040.655881557737
2021-09-03,13058.798201557736
2021-09-04,12958.415715557738
2021-09-05,12979.832663557738
2021-09-06,12981.590482557736
2021-09-07,13207.720817557738
2021-09-08,13018.943046557737
2021-09-09,12811.581839557737
2021-09-10,13066.702005156303
2021-09-11,13295.104627960402
2021-09-12,13196.278536724161
2021-09-13,12779.04407824416
2021-09-14,12642.49236824416
2021-09-15,12662.10546824416
2021-09-16,12419.47240824416
2021-09-17,12308.00211924416
2021-09-18,24374.52058624416
2021-09-19,24075.70746024416
2021-09-20,23999.521490244162
2021-09-21,24915.973971244162
2021-09-22,25120.28438893123
2021-09-23,25081.184637260998
2021-09-24,25021.905839261
2021-09-25,25038.588374261
2021-09-26,35681.576819261
2021-09-27,35759.015713261
2021-09-28,36026.213367261
2021-09-29,37480.171227761
2021-09-30,37535.579379760995
2021-10-01,37576.940608761
2021-10-02,37607.491631761
2021-10-03,37755.612660761
2021-10-04,37977.207194760995
2021-10-05,38415.563739521
2021-10-06,38393.400060520995
2021-10-07,38271.112582521
2021-10-08,38089.003703411
2021-10-09,38285.459706411
2021-10-10,35331.704983411
2021-10-11,35312.978735410994
2021-10-12,35317.367111611
2021-10-13,34890.163795611
2021-10-14,35179.777592611
2021-10-15,35108.375034610995
2021-10-16,35289.474479610995
2021-10-17,35312.249739611
2021-10-18,34941.979599611
2021-10-19,35012.119410611
2021-10-20,34970.706545611
2021-10-21,35820.968350610994
2021-10-22,35806.077135611
2021-10-23,32740.738617610998
2021-10-24,32680.395406610998
2021-10-25,33499.417157610995
2021-10-26,33518.152656611
2021-10-27,32614.838336611
2021-10-28,32841.076435610994
2021-10-29,32824.797331611
2021-10-30,32809.924547611
2021-10-31,32358.662261610996
2021-11-01,32085.499965610998
2021-11-02,32020.818872611
2021-11-03,35950.086791611
2021-11-04,69880.329874611
2021-11-05,69975.543875611
2021-11-06,69890.515213611
2021-11-07,69913.540086611
2021-11-08,69767.284188611
2021-11-09,72217.450256611
2021-11-10,72238.419869611
2021-11-11,72247.21357361099
2021-11-12,72177.378085611
2021-11-13,72132.42411361099
2021-11-14,72139.84102361099
2021-11-15,69155.015920611
2021-11-16,69230.407415611
2021-11-17,69323.75236661099
2021-11-18,69085.995596611
2021-11-19,69021.971002611
2021-11-20,69514.241132611
2021-11-21,69536.81315967787
2021-11-22,69518.03118267788
2021-11-23,69527.10812067788
2021-11-24,69513.06256067788
2021-11-25,69393.99214267787
2021-11-26,69365.62148567787
2021-11-27,69307.90647667788
2021-11-28,69284.91466767788
2021-11-29,66312.11922867787
2021-11-30,66316.52895667788
2021-12-01,66454.82475167788
2021-12-02,66710.06544167787
2021-12-03,66717.67652867787
2021-12-04,66829.14635967788
2021-12-05,66787.29961067787
2021-12-06,66746.00348767788
2021-12-07,66668.56906367787
2021-12-08,67633.09086867787
2021-12-09,69248.04847467787
2021-12-10,69252.07610767787
2021-12-11,69281.87575867788
2021-12-12,69249.31340267787
2021-12-13,69224.01700867788
2021-12-14,69221.78565867788
2021-12-15,69118.83364967788
2021-12-16,69107.31465067787
2021-12-17,68164.57368867788
2021-12-18,61897.12933967787
2021-12-19,61906.43120267787
2021-12-20,61499.68206667787
2021-12-21,61537.026251677875
2021-12-22,61554.55448767787
2021-12-23,61529.539897677874
2021-12-24,61514.328841677874
2021-12-25,61481.22547767787
2021-12-26,61485.769738677875
2021-12-27,61748.042933677876
2021-12-28,61779.74367667788
2021-12-29,61769.202660677875
2021-12-30,61791.70514067788
2021-12-31,61773.13982267788
2022-01-01,61755.21081267788
2022-01-02,61620.544667777875
2022-01-03,50626.50444077788
2022-01-04,50660.00278977787
2022-01-05,50659.75565077787
2022-01-06,50605.408922777875
2022-01-07,50530.064956777875
2022-01-08,50527.50580277787
2022-01-09,50516.89555877788
2022-01-10,50502.32233677788
2022-01-11,50489.357339777875
2022-01-12,50477.33798277788
2022-01-13,50396.27593377788
2022-01-14,50375.312786777875
2022-01-15,50393.119269777875
2022-01-16,50403.97548977788
2022-01-17,50422.92030877787
2022-01-18,50372.45700977788
2022-01-19,50371.36564330787
2022-01-20,50365.83892530787
2022-01-21,50357.17770630788
2022-01-22,50357.025406307876
2022-01-23,50299.96200730788
2022-01-24,49618.09874530788
2022-01-25,49612.828688307876
2022-01-26,49516.98745330788
2022-01-27,49514.12779030787
2022-01-28,49398.05847730787
2022-01-29,49390.86639730787
2022-01-30,49391.743274307875
2022-01-31,49385.60113630787
2022-02-01,49356.98487430788
2022-02-02,49358.01726830787
2022-02-03,49346.15185130788
2022-02-04,49343.88920130787
2022-02-05,37810.11440030787
2022-02-06,37796.40340030788
2022-02-07,37791.72185830787
2022-02-08,37755.594843307874
2022-02-09,37759.906076307874
2022-02-10,37738.053550837874
2022-02-11,21035.044352837875
2022-02-12,21033.019756837875
2022-02-13,21150.056522837873
2022-02-14,21137.886397837876
2022-02-15,21148.209852837874
2022-02-16,21141.899606837873
2022-02-17,21128.899257837875
2022-02-18,21109.460058837874
2022-02-19,21101.785138837873
2022-02-20,20812.095760837874
2022-02-21,20811.976765837873
2022-02-22,20795.508247837875
2022-02-23,20792.781005837875
2022-02-24,20792.204473837875
2022-02-25,20761.904473837876
2022-02-26,20760.970530837876
2022-02-27,20751.726235837876
2022-02-28,20750.445711837874
2022-03-01,20742.429596837876
2022-03-02,20731.136291837873
2022-03-03,20731.136291837873
2022-03-04,20730.073455837875
2022-03-05,20728.468634837875
2022-03-06,20722.268448837873
2022-03-07,20712.268448837873
2022-03-08,20712.268448837873
2022-03-09,20711.929248837874
2022-03-10,20711.384640837874
2022-03-11,20604.897973837873
2022-03-12,20535.844787837876
2022-03-13,20534.974565837874
2022-03-14,20534.924565837875
2022-03-15,20534.154945837876
2022-03-16,20434.981370837875
2022-03-17,20433.763924837873
2022-03-18,20412.014416837876
2022-03-19,20412.014416837876
2022-03-20,20411.931174837875
2022-03-21,20407.639617837875
2022-03-22,20405.269634837874
2022-03-23,20380.099784837876
2022-03-24,20218.027658837873
2022-03-25,20151.334803837875
2022-03-26,17149.567484837873
2022-03-27,17146.886390837873
2022-03-28,17144.592141837875
2022-03-29,17126.197734837875
2022-03-30,17126.212339837875
2022-03-31,17093.607106837873
2022-04-01,17093.331215837876
2022-04-02,17089.620558837876
2022-04-03,17089.620558837876
2022-04-04,17085.777558837875
2022-04-05,17084.359433837875
2022-04-06,17083.463400837874
2022-04-07,17082.918959837876
2022-04-08,17080.756644837875
2022-04-09,17039.377524837873
2022-04-10,17039.377524837873
2022-04-11,17019.010283837873
2022-04-12,17017.385312837876
2022-04-13,17005.037606837876
2022-04-14,16983.309400837876
2022-04-15,16983.309400837876
2022-04-16,16983.263296837875
2022-04-17,16983.263296837875
2022-04-18,16983.263296837875
2022-04-19,16983.263296837875
2022-04-20,16983.263296837875
2022-04-21,16983.263296837875
2022-04-22,16957.063862837873
2022-04-23,16956.669216837876
2022-04-24,16956.669216837876
2022-04-25,16956.669216837876
2022-04-26,16956.167426837874
2022-04-27,16956.167426837874
2022-04-28,16956.048701837874
2022-04-29,16940.508669837873
2022-04-30,16934.066628837874
2022-05-01,16907.006350837873
2022-05-02,16907.006350837873
2022-05-03,16907.006350837873
2022-05-04,16905.985887837873
2022-05-05,16841.813086837876
2022-05-06,16838.477847837876
2022-05-07,16838.433496837875
2022-05-08,16837.112665837874
2022-05-09,16837.112665837874
2022-05-10,16815.971834837874
2022-05-11,16815.971834837874
2022-05-12,16814.544352837875
2022-05-13,16814.544352837875
2022-05-14,16814.544352837875
2022-05-15,16814.544352837875
2022-05-16,16808.207543837874
2022-05-17,16808.207543837874
2022-05-18,16808.083543837874
2022-05-19,16808.083543837874
2022-05-20,16808.083543837874
2022-05-21,16808.083543837874
2022-05-22,16808.083543837874
2022-05-23,16803.170574837874
2022-05-24,16803.170574837874
2022-05-25,16795.979574837875
2022-05-26,16795.979574837875
2022-05-27,16795.979574837875
2022-05-28,16795.795301837876
2022-05-29,16795.795301837876
2022-05-30,16795.553709837874
2022-05-31,16795.553709837874
2022-06-01,16795.553709837874
2022-06-02,16792.553709837874
2022-06-03,16787.836709837873
2022-06-04,16787.356046837875
2022-06-05,16787.356046837875
2022-06-06,16766.053105837873
2022-06-07,16766.053105837873
2022-06-08,16766.053105837873
2022-06-09,16766.053105837873
2022-06-10,16766.053105837873
2022-06-11,16766.053105837873
2022-06-12,16766.053105837873
2022-06-13,16766.053105837873
2022-06-14,16751.286088837875
2022-06-15,16751.286088837875
2022-06-16,16751.286088837875
2022-06-17,16751.286088837875
2022-06-18,16751.286088837875
2022-06-19,16751.286088837875
2022-06-20,16751.286088837875
2022-06-21,16751.286088837875
2022-06-22,16751.286088837875
2022-06-23,16748.286088837875
2022-06-24,16748.286088837875
2022-06-25,16748.286088837875
2022-06-26,16748.286088837875
2022-06-27,16748.286088837875
2022-06-28,16748.286088837875
2022-06-29,16748.286088837875
2022-06-30,16748.286088837875
2022-07-01,16748.286088837875
2022-07-02,16748.286088837875
2022-07-03,16748.286088837875
2022-07-04,16748.286088837875
2022-07-05,16748.286088837875
2022-07-06,16748.286088837875
2022-07-07,16748.286088837875
2022-07-08,16748.286088837875
2022-07-09,16746.318750837876
2022-07-10,16746.318750837876
2022-07-11,16746.318750837876
2022-07-12,16744.396447837873
2022-07-13,16744.396447837873
2022-07-14,16742.298447837875
2022-07-15,16741.298447837875
2022-07-16,16741.298447837875
2022-07-17,16741.298447837875
2022-07-18,16741.298447837875
2022-07-19,16741.298447837875
2022-07-20,13740.693694837875
2022-07-21,13740.693694837875
2022-07-22,13740.693694837875
2022-07-23,13726.396900837875
2022-07-24,13714.216170837875
2022-07-25,13714.216170837875
2022-07-26,13714.216170837875
2022-07-27,13713.992970837875
2022-07-28,13713.992970837875
2022-07-29,13713.992970837875
2022-07-30,13713.992970837875
2022-07-31,13713.992970837875
2022-08-01,13713.992970837875
2022-08-02,13713.992970837875
2022-08-03,13713.992970837875
2022-08-04,13713.992970837875
2022-08-05,13713.992970837875
2022-08-06,13713.992970837875
2022-08-07,13713.992970837875
2022-08-08,13713.992970837875
2022-08-09,13713.992970837875
2022-08-10,13713.992970837875
2022-08-11,13713.992970837875
2022-08-12,13713.992970837875
2022-08-13,13713.992970837875
2022-08-14,13713.992970837875
2022-08-15,13713.992970837875
2022-08-16,13713.992970837875
2022-08-17,13713.992970837875
2022-08-18,13713.992970837875
2022-08-19,13713.992970837875
2022-08-20,13713.992970837875
2022-08-21,13713.992970837875
2022-08-22,13700.649420837875
2022-08-23,13700.649420837875
2022-08-24,13700.649420837875
2022-08-25,13700.649420837875
2022-08-26,13696.877120837875
2022-08-27,13696.780014837874
2022-08-28,13696.780014837874
2022-08-29,13696.780014837874
2022-08-30,13696.680014837875
2022-08-31,13696.680014837875
2022-09-01,13696.680014837875
2022-09-02,13696.680014837875
2022-09-03,13696.680014837875
2022-09-04,13696.680014837875
2022-09-05,13696.666124837875
2022-09-06,13696.666124837875
2022-09-07,13646.666124837875
2022-09-08,13646.666124837875
2022-09-09,13646.666124837875
2022-09-10,13646.666124837875
2022-09-11,13646.666124837875
2022-09-12,13645.196124837874
2022-09-13,13645.196124837874
2022-09-14,13596.654927837875
2022-09-15,13596.654927837875
2022-09-16,13592.496270837875
2022-09-17,13592.396270837875
2022-09-18,13592.396270837875
2022-09-19,13592.396270837875
2022-09-20,13592.396270837875
2022-09-21,13592.396270837875
2022-09-22,13592.396270837875
2022-09-23,13592.396270837875
2022-09-24,13592.396270837875
2022-09-25,13592.396270837875
2022-09-26,13592.396270837875
2022-09-27,13592.396270837875
2022-09-28,13592.396270837875
2022-09-29,13592.396270837875
2022-09-30,13592.396270837875
2022-10-01,13592.396270837875
2022-10-02,13592.396270837875
2022-10-03,13592.396270837875
2022-10-04,13592.396270837875
2022-10-05,13591.782710837875
2022-10-06,13591.782710837875
2022-10-07,13591.782710837875
2022-10-08,13591.782710837875
2022-10-09,13591.782710837875
2022-10-10,13591.782710837875
2022-10-11,13591.782710837875
2022-10-12,13591.782710837875
2022-10-13,13591.782710837875
2022-10-14,13591.782710837875
2022-10-15,13591.782710837875
2022-10-16,13591.782710837875
2022-10-17,13591.782710837875
2022-10-18,13591.782710837875
2022-10-19,13591.782710837875
2022-10-20,13591.782710837875
2022-10-21,13591.782710837875
2022-10-22,13591.782710837875
2022-10-23,13591.782710837875
2022-10-24,13591.782710837875
2022-10-25,13591.782710837875
2022-10-26,13591.782710837875
2022-10-27,13591.782710837875
2022-10-28,13591.782710837875
2022-10-29,13591.782710837875
2022-10-30,13591.782710837875
2022-10-31,13591.782710837875
2022-11-01,13591.782710837875
2022-11-02,13591.782710837875
2022-11-03,13591.782710837875
2022-11-04,13591.782710837875
2022-11-05,13591.782710837875
2022-11-06,13591.782710837875
2022-11-07,13591.782710837875
2022-11-08,13591.782710837875
2022-11-09,13591.782710837875
2022-11-10,13591.782710837875
2022-11-11,13591.782710837875
2022-11-12,13591.782710837875
2022-11-13,13131.273635837875
2022-11-14,13131.273635837875
2022-11-15,13131.273635837875
2022-11-16,13131.273635837875
2022-11-17,13131.273635837875
