date,0xF9Fb1c508Ff49F78b60d3A96dea99Fa5d7F3A8A6
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-16,
2020-05-17,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-23,
2020-05-24,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-05-30,
2020-05-31,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-06,
2020-06-07,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-13,
2020-06-14,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-20,
2020-06-21,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-27,
2020-06-28,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-04,
2020-07-05,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-11,
2020-07-12,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-18,
2020-07-19,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-25,
2020-07-26,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-01,
2020-08-02,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-08,
2020-08-09,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-15,
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-22,
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-29,
2020-08-30,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-12,
2020-09-13,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-19,
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2020-11-01,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-07,
2020-11-08,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-14,
2020-11-15,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-21,
2020-11-22,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-28,
2020-11-29,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,
2020-12-04,
2020-12-05,
2020-12-06,
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-12,
2020-12-13,
2020-12-14,
2020-12-15,
2020-12-16,
2020-12-17,
2020-12-18,
2020-12-19,
2020-12-20,
2020-12-21,
2020-12-22,
2020-12-23,
2020-12-24,
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,
2020-12-29,
2020-12-30,
2020-12-31,
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-09,
2021-01-10,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-23,
2021-01-24,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-01-30,
2021-01-31,
2021-02-01,
2021-02-02,0.0
2021-02-03,0.05
2021-02-04,0.05
2021-02-05,0.05
2021-02-06,0.05
2021-02-07,0.05
2021-02-08,0.05
2021-02-09,0.05
2021-02-10,1.05
2021-02-11,8.25
2021-02-12,8.25
2021-02-13,8.262
2021-02-14,8.262
2021-02-15,10.892
2021-02-16,10.892
2021-02-17,10.922
2021-02-18,10.922
2021-02-19,10.225
2021-02-20,10.225
2021-02-21,10.225
2021-02-22,10.225
2021-02-23,10.225
2021-02-24,10.225
2021-02-25,10.225
2021-02-26,10.4467
2021-02-27,11.4467
2021-02-28,11.4467
2021-03-01,11.4467
2021-03-02,11.4467
2021-03-03,11.4467
2021-03-04,11.4467
2021-03-05,11.4467
2021-03-06,11.9477
2021-03-07,12.7877
2021-03-08,12.7877
2021-03-09,10.8227
2021-03-10,10.9977
2021-03-11,11.0977
2021-03-12,11.0977
2021-03-13,12.1227
2021-03-14,14.9227
2021-03-15,14.9227
2021-03-16,14.9227
2021-03-17,23.9227
2021-03-18,40.625007
2021-03-19,101.162507
2021-03-20,130.398108
2021-03-21,132.301474
2021-03-22,203.007811
2021-03-23,320.058634
2021-03-24,271.483524
2021-03-25,351.278132
2021-03-26,553.480287
2021-03-27,582.885612
2021-03-28,577.3779
2021-03-29,652.064735
2021-03-30,691.634474
2021-03-31,578.715473
2021-04-01,517.732694
2021-04-02,523.691094
2021-04-03,499.165236
2021-04-04,471.003597
2021-04-05,482.126085
2021-04-06,491.387206
2021-04-07,530.664006
2021-04-08,575.408225
2021-04-09,580.42624
2021-04-10,592.168944
2021-04-11,550.052176
2021-04-12,542.150947
2021-04-13,534.523467
2021-04-14,524.609907
2021-04-15,514.648051
2021-04-16,516.368211
2021-04-17,506.894081
2021-04-18,512.872786
2021-04-19,495.574095
2021-04-20,487.927842
2021-04-21,485.176741
2021-04-22,498.984742
2021-04-23,523.44613
2021-04-24,503.500015
2021-04-25,491.458437
2021-04-26,475.603382
2021-04-27,565.962082
2021-04-28,582.565368
2021-04-29,567.456908
2021-04-30,559.241011
2021-05-01,564.970971
2021-05-02,524.220508
2021-05-03,482.537433
2021-05-04,453.640786
2021-05-05,427.166163
2021-05-06,455.756984
2021-05-07,447.50353
2021-05-08,465.893766
2021-05-09,451.613736
2021-05-10,475.371901
2021-05-11,448.066229
2021-05-12,446.039528
2021-05-13,453.227599
2021-05-14,461.526902
2021-05-15,482.625006
2021-05-16,511.384546
2021-05-17,533.911966
2021-05-18,538.131689
2021-05-19,583.798346
2021-05-20,583.848671
2021-05-21,594.351071
2021-05-22,621.889554
2021-05-23,630.506927
2021-05-24,610.948699
2021-05-25,629.192842
2021-05-26,650.848631
2021-05-27,640.260154
2021-05-28,636.169139
2021-05-29,630.70927
2021-05-30,623.765317
2021-05-31,624.5789
2021-06-01,664.795612
2021-06-02,800.997051
2021-06-03,945.593533
2021-06-04,1017.191261
2021-06-05,1061.237232
2021-06-06,1016.979412
2021-06-07,1014.71527
2021-06-08,1002.895126
2021-06-09,1001.935126
2021-06-10,969.627396
2021-06-11,928.974481
2021-06-12,909.41618
2021-06-13,897.553924
2021-06-14,806.301582
2021-06-15,794.861478
2021-06-16,769.090698
2021-06-17,774.353735
2021-06-18,746.297616
2021-06-19,747.319603
2021-06-20,744.009338
2021-06-21,754.382585
2021-06-22,741.53685
2021-06-23,746.792669
2021-06-24,748.038973
2021-06-25,751.501714
2021-06-26,755.453412
2021-06-27,754.167371
2021-06-28,821.226775
2021-06-29,790.732289
2021-06-30,785.892688
2021-07-01,1120.617687
2021-07-02,784.723529
2021-07-03,797.175573
2021-07-04,796.32809
2021-07-05,799.104709
2021-07-06,782.639659
2021-07-07,1151.148788
2021-07-08,1568.178425
2021-07-09,1642.873756
2021-07-10,1826.897895
2021-07-11,1912.981789
2021-07-12,1972.311033
2021-07-13,2120.502432
2021-07-14,2647.948561
2021-07-15,3049.603335
2021-07-16,3091.498575
2021-07-17,2902.697819
2021-07-18,2792.239114
2021-07-19,2759.732267
2021-07-20,2746.11745
2021-07-21,2691.457282
2021-07-22,2822.747977
2021-07-23,2919.6223
2021-07-24,2965.784306
2021-07-25,3122.327388
2021-07-26,3056.132012
2021-07-27,3100.974287
2021-07-28,2983.872415
2021-07-29,2861.875679
2021-07-30,2870.253132
2021-07-31,2865.984033
2021-08-01,2870.463441
2021-08-02,2836.19467
2021-08-03,2816.893052
2021-08-04,6351.669963
2021-08-05,6556.892296
2021-08-06,6699.131809
2021-08-07,6727.901607
2021-08-08,6816.101351
2021-08-09,6998.447563
2021-08-10,7248.685334
2021-08-11,7729.007615
2021-08-12,7929.90618
2021-08-13,8186.817537
2021-08-14,9061.733326
2021-08-15,9125.210794
2021-08-16,9234.289938
2021-08-17,9377.549928
2021-08-18,9382.529322
2021-08-19,9681.707877
2021-08-20,9704.74899
2021-08-21,9830.146787
2021-08-22,9915.082484
2021-08-23,10161.643861
2021-08-24,10088.65626
2021-08-25,10166.874642
2021-08-26,10855.917543
2021-08-27,10403.065689
2021-08-28,9993.202211
2021-08-29,9553.664612
2021-08-30,9541.494284
2021-08-31,9273.851733
2021-09-01,8783.50539
2021-09-02,8406.639943
2021-09-03,8389.435987
2021-09-04,8255.225364
2021-09-05,8689.619995
2021-09-06,8627.661975
2021-09-07,8428.945603
2021-09-08,8610.074358
2021-09-09,8579.925311
2021-09-10,9183.099139
2021-09-11,9110.871559
2021-09-12,8772.613543
2021-09-13,8892.335505
2021-09-14,8902.920009
2021-09-15,8879.053865
2021-09-16,8741.693774
2021-09-17,8784.432406
2021-09-18,8933.715156
2021-09-19,9073.590513
2021-09-20,9156.140954
2021-09-21,9233.044584
2021-09-22,9407.873904
2021-09-23,9334.573402
2021-09-24,9420.934967
2021-09-25,9690.299404
2021-09-26,10061.977357
2021-09-27,10069.669341
2021-09-28,10192.782558
2021-09-29,10328.237435
2021-09-30,10249.969363
2021-10-01,10048.178116
2021-10-02,10519.826596
2021-10-03,10298.994441
2021-10-04,10446.055473
2021-10-05,10684.412001
2021-10-06,10607.763957
2021-10-07,11029.395126
2021-10-08,11017.050228
2021-10-09,11669.95785
2021-10-10,11533.48651
2021-10-11,12230.245306
2021-10-12,12333.797277
2021-10-13,12584.965307
2021-10-14,15625.971221
2021-10-15,15216.347448
2021-10-16,15314.748993
2021-10-17,15211.922439
2021-10-18,15644.354752
2021-10-19,15737.507051
2021-10-20,15895.229537
2021-10-21,15843.139486
2021-10-22,15663.395069
2021-10-23,15732.664225
2021-10-24,15803.653158
2021-10-25,16032.489086
2021-10-26,16314.827940756448
2021-10-27,16537.24218875645
2021-10-28,16595.39653132762
2021-10-29,16581.69124432762
2021-10-30,16335.950395327622
2021-10-31,13766.58703032762
2021-11-01,13598.28605032762
2021-11-02,17431.259501327622
2021-11-03,17453.563910327623
2021-11-04,17700.40694132762
2021-11-05,17734.467426654355
2021-11-06,17784.730233654358
2021-11-07,16769.942229971584
2021-11-08,14897.100128971586
2021-11-09,13916.033495971586
2021-11-10,14066.199745971586
2021-11-11,14208.495625387304
2021-11-12,13958.760333253833
2021-11-13,14022.21846125383
2021-11-14,14368.81695125383
2021-11-15,14061.166704845382
2021-11-16,14446.975556845382
2021-11-17,14351.471171845382
2021-11-18,15105.13245984538
2021-11-19,15069.81524284538
2021-11-20,14740.88860684538
2021-11-21,15391.218421845382
2021-11-22,16244.38599384538
2021-11-23,16227.674244845382
2021-11-24,16361.593790845382
2021-11-25,16826.714314845383
2021-11-26,16756.297682845383
2021-11-27,16740.217073845382
2021-11-28,16530.80019284538
2021-11-29,16679.80726484538
2021-11-30,16927.25118884538
2021-12-01,16640.124523073493
2021-12-02,16617.630249073492
2021-12-03,16723.784744073495
2021-12-04,16972.865507073493
2021-12-05,16801.791052073495
2021-12-06,16289.415490073494
2021-12-07,16132.957824073494
2021-12-08,16274.022372073494
2021-12-09,16049.694291073494
2021-12-10,16085.221237073494
2021-12-11,16212.180320073494
2021-12-12,16214.385997073494
2021-12-13,16360.257593073493
2021-12-14,16313.303900073492
2021-12-15,16410.818724073495
2021-12-16,16381.644718073494
2021-12-17,16968.872785932374
2021-12-18,17153.926685932376
2021-12-19,18504.771688932375
2021-12-20,19120.134192932375
2021-12-21,19409.681971932376
2021-12-22,19767.312737932378
2021-12-23,20535.806617932376
2021-12-24,21745.497902932377
2021-12-25,21916.044448932375
2021-12-26,21965.143608932376
2021-12-27,22206.321925932378
2021-12-28,22329.448797932375
2021-12-29,22468.139613932373
2021-12-30,22740.034954932376
2021-12-31,22765.414664932377
2022-01-01,22796.879564741474
2022-01-02,23257.66578656532
2022-01-03,24164.818581158834
2022-01-04,25240.973277158835
2022-01-05,25235.109661158833
2022-01-06,25928.634279158832
2022-01-07,26709.236665158835
2022-01-08,27978.088448158833
2022-01-09,29479.530930158835
2022-01-10,31458.50533115883
2022-01-11,31733.172483978306
2022-01-12,32001.0441479783
2022-01-13,32752.520179978303
2022-01-14,53282.8476479783
2022-01-15,53301.2133779783
2022-01-16,52758.6784309783
2022-01-17,52469.3178269783
2022-01-18,52284.6804839783
2022-01-19,52023.3909649783
2022-01-20,50342.0038979783
2022-01-21,50840.2036239783
2022-01-22,50837.127862978305
2022-01-23,50445.8221859783
2022-01-24,49336.4848119783
2022-01-25,49347.1963979783
2022-01-26,48186.9594439783
2022-01-27,48013.7862539783
2022-01-28,47746.114728978304
2022-01-29,47781.1920949783
2022-01-30,47849.138902581755
2022-01-31,47169.11572669591
2022-02-01,47172.42605369591
2022-02-02,47188.27141636077
2022-02-03,47228.265627360764
2022-02-04,46889.14875156614
2022-02-05,46929.616217566145
2022-02-06,46787.95207356614
2022-02-07,44738.47135056614
2022-02-08,45269.13210556614
2022-02-09,44759.531384566144
2022-02-10,44642.80300356614
2022-02-11,44500.822522566144
2022-02-12,44383.513658566146
2022-02-13,44397.86512456614
2022-02-14,43993.29210256614
2022-02-15,45152.075790566145
2022-02-16,44901.187592566144
2022-02-17,44799.04621056614
2022-02-18,44731.71130456614
2022-02-19,44254.081894566145
2022-02-20,44324.21788456614
2022-02-21,44305.41965356614
2022-02-22,44302.477481566144
2022-02-23,43913.589869566145
2022-02-24,43493.09286256614
2022-02-25,42876.023067566144
2022-02-26,43055.42129556614
2022-02-27,43416.713086566146
2022-02-28,44702.10901356614
2022-03-01,44810.07809556614
2022-03-02,44726.42483456614
2022-03-03,47753.46077256614
2022-03-04,48424.71743456614
2022-03-05,48522.159782566145
2022-03-06,47864.26121856614
2022-03-07,47703.14342056614
2022-03-08,47784.702962566145
2022-03-09,47839.69338856614
2022-03-10,47932.75828956614
2022-03-11,47859.91114756614
2022-03-12,47929.75173056614
2022-03-13,47887.153247566144
2022-03-14,47848.95611056614
2022-03-15,47681.60487456614
2022-03-16,47541.38853556614
2022-03-17,47531.095909566146
2022-03-18,47425.49112556614
2022-03-19,47314.42761056614
2022-03-20,47322.533642566144
2022-03-21,47423.470112566145
2022-03-22,45141.39393256614
2022-03-23,47476.61715856614
2022-03-24,47546.30903156614
2022-03-25,47751.656663566144
2022-03-26,47767.7139439531
2022-03-27,47894.7017229531
2022-03-28,45995.0594349531
2022-03-29,45144.740513953104
2022-03-30,45120.150309953104
2022-03-31,45317.3201729531
2022-04-01,45705.4196789531
2022-04-02,45019.2506329531
2022-04-03,45259.9657639531
2022-04-04,45168.2249289531
2022-04-05,44885.5758719531
2022-04-06,44632.76981850857
2022-04-07,44402.525696508565
2022-04-08,44417.07563350857
2022-04-09,44111.051122508565
2022-04-10,44072.563267508565
2022-04-11,44021.58922350856
2022-04-12,43969.41522350856
2022-04-13,40661.59715850856
2022-04-14,40663.96348550857
2022-04-15,40838.56609650856
2022-04-16,40796.00110150857
2022-04-17,40359.850276508565
2022-04-18,39455.33411050856
2022-04-19,39543.20259450856
2022-04-20,39714.809248508565
2022-04-21,39451.00907650856
2022-04-22,39784.29367650857
2022-04-23,39417.43849050857
2022-04-24,39480.58385450856
2022-04-25,39514.56047750857
2022-04-26,39593.23537450856
2022-04-27,38843.72696350857
2022-04-28,38983.800284508565
2022-04-29,19180.421824508565
2022-04-30,18678.566887508565
2022-05-01,18313.629309508564
2022-05-02,18409.200094508567
2022-05-03,18446.171003508567
2022-05-04,18642.907173508567
2022-05-05,19045.30772350857
2022-05-06,18748.59113450857
2022-05-07,18881.985765508565
2022-05-08,18862.312787508567
2022-05-09,18894.101657508567
2022-05-10,18082.79719250857
2022-05-11,17636.674102508565
2022-05-12,17274.968568508564
2022-05-13,16609.947086508564
2022-05-14,16183.406534508566
2022-05-15,15451.658735508565
2022-05-16,15367.767011508566
2022-05-17,15413.954815508563
2022-05-18,15551.011459508563
2022-05-19,15474.909539508566
2022-05-20,15319.523245508566
2022-05-21,15281.951059508565
2022-05-22,15086.883440508564
2022-05-23,14980.836263508563
2022-05-24,14998.798323508565
2022-05-25,15036.957088508563
2022-05-26,15016.364498508565
2022-05-27,15211.917164508566
2022-05-28,15449.639753508563
2022-05-29,15461.381926508566
2022-05-30,15400.377917508566
2022-05-31,15376.264398508563
2022-06-01,15373.915646508563
2022-06-02,15390.105617508563
2022-06-03,15432.398593508566
2022-06-04,15304.983802508566
2022-06-05,15303.703499508563
2022-06-06,15294.702229508566
2022-06-07,15532.926658508566
2022-06-08,15387.370091508566
2022-06-09,15390.689975508563
2022-06-10,15378.179075508566
2022-06-11,15422.899184508566
2022-06-12,15216.366291508566
2022-06-13,15192.195185508566
2022-06-14,14955.369326508566
2022-06-15,14943.611769508563
2022-06-16,14513.584105508566
2022-06-17,14214.302577508566
2022-06-18,13476.289673508563
2022-06-19,13424.882873508566
2022-06-20,13574.280643508566
2022-06-21,13392.632695508566
2022-06-22,13405.654434345504
2022-06-23,13194.817179345506
2022-06-24,94.78477634550522
2022-06-25,94.78477634550522
2022-06-26,94.78477634550522
2022-06-27,94.78477634550522
2022-06-28,94.78477634550522
2022-06-29,94.78477634550522
2022-06-30,94.78477634550522
2022-07-01,94.78477634550522
2022-07-02,94.78477634550522
2022-07-03,94.78477634550522
2022-07-04,94.78477634550522
2022-07-05,94.78477634550522
2022-07-06,94.78477634550522
2022-07-07,94.78477634550522
2022-07-08,94.78477634550522
2022-07-09,94.78477634550522
2022-07-10,94.78477634550522
2022-07-11,94.78477634550522
2022-07-12,94.78477634550522
2022-07-13,94.78477634550522
2022-07-14,94.78477634550522
2022-07-15,94.78477634550522
2022-07-16,94.78477634550522
2022-07-17,94.78477634550522
2022-07-18,94.78663334550522
2022-07-19,94.78663334550522
2022-07-20,94.78663334550522
2022-07-21,94.78663334550522
2022-07-22,94.78663334550522
2022-07-23,94.78663334550522
2022-07-24,94.78663334550522
2022-07-25,94.78663334550522
2022-07-26,94.78663334550522
2022-07-27,94.78663334550522
2022-07-28,94.78663334550522
2022-07-29,94.78663334550522
2022-07-30,94.78663334550522
2022-07-31,94.78663334550522
2022-08-01,94.78663334550522
2022-08-02,94.78663334550522
2022-08-03,94.78663334550522
2022-08-04,94.78663334550522
2022-08-05,94.78663334550522
2022-08-06,94.78663334550522
2022-08-07,94.78663334550522
2022-08-08,94.78663334550522
2022-08-09,94.78663334550522
2022-08-10,94.78663334550522
2022-08-11,94.78663334550522
2022-08-12,94.78663334550522
2022-08-13,94.78663334550522
2022-08-14,94.78663334550522
2022-08-15,94.78663334550522
2022-08-16,94.78663334550522
2022-08-17,94.78663334550522
2022-08-18,94.78663334550522
2022-08-19,94.78663334550522
2022-08-20,94.78663334550522
2022-08-21,94.78663334550522
2022-08-22,94.78663334550522
2022-08-23,94.78663334550522
2022-08-24,94.78663334550522
2022-08-25,94.78663334550522
2022-08-26,94.78663334550522
2022-08-27,94.78663334550522
2022-08-28,94.78663334550522
2022-08-29,94.78663334550522
2022-08-30,94.78663334550522
2022-08-31,94.78663334550522
2022-09-01,94.78663334550522
2022-09-02,94.78663334550522
2022-09-03,94.78663334550522
2022-09-04,94.78663334550522
2022-09-05,94.78663334550522
2022-09-06,94.78663334550522
2022-09-07,94.78663334550522
2022-09-08,94.78663334550522
2022-09-09,94.78663334550522
2022-09-10,94.78663334550522
2022-09-11,94.78663334550522
2022-09-12,94.78663334550522
2022-09-13,94.78663334550522
2022-09-14,94.78663334550522
2022-09-15,94.78663334550522
2022-09-16,94.78663334550522
2022-09-17,94.78663334550522
2022-09-18,94.78663334550522
2022-09-19,94.78663334550522
2022-09-20,94.78663334550522
2022-09-21,94.78663334550522
2022-09-22,94.78663334550522
2022-09-23,94.78663334550522
2022-09-24,94.78663334550522
2022-09-25,94.78663334550522
2022-09-26,94.78663334550522
2022-09-27,94.78663334550522
2022-09-28,94.78663334550522
2022-09-29,94.78663334550522
2022-09-30,94.78663334550522
2022-10-01,94.78663334550522
2022-10-02,94.78663334550522
2022-10-03,94.78663334550522
2022-10-04,94.78663334550522
2022-10-05,94.78663334550522
2022-10-06,94.78663334550522
2022-10-07,94.78663334550522
2022-10-08,94.78663334550522
2022-10-09,94.78663334550522
2022-10-10,94.78663334550522
2022-10-11,94.78663334550522
2022-10-12,94.78663334550522
2022-10-13,94.78663334550522
2022-10-14,94.78663334550522
2022-10-15,94.78663334550522
2022-10-16,94.78663334550522
2022-10-17,94.78663334550522
2022-10-18,94.78663334550522
2022-10-19,94.78663334550522
2022-10-20,94.78663334550522
2022-10-21,94.78663334550522
2022-10-22,94.78663334550522
2022-10-23,94.78663334550522
2022-10-24,94.78663334550522
2022-10-25,94.78663334550522
2022-10-26,94.78663334550522
2022-10-27,94.78663334550522
2022-10-28,94.78663334550522
2022-10-29,94.78663334550522
2022-10-30,94.78663334550522
2022-10-31,94.78663334550522
2022-11-01,94.78663334550522
2022-11-02,94.78663334550522
2022-11-03,94.78663334550522
2022-11-04,94.78663334550522
2022-11-05,94.78663334550522
2022-11-06,94.78663334550522
2022-11-07,94.78663334550522
2022-11-08,94.78663334550522
2022-11-09,94.78663334550522
2022-11-10,94.78663334550522
2022-11-11,94.78663334550522
2022-11-12,94.78663334550522
2022-11-13,94.78663334550522
2022-11-14,94.78663334550522
2022-11-15,94.78663334550522
2022-11-16,94.78663334550522
2022-11-17,94.78663334550522
2022-11-18,94.78663334550522
2022-11-19,94.78663334550522
2022-11-20,94.78663334550522
2022-11-21,94.78663334550522
2022-11-22,94.78663334550522
2022-11-23,94.78663334550522
2022-11-24,94.78663334550522
2022-11-25,94.78663334550522
2022-11-26,94.78663334550522
2022-11-27,94.78663334550522
2022-11-28,94.78663334550522
2022-11-29,94.78663334550522
2022-11-30,94.78663334550522
2022-12-01,94.78663334550522
2022-12-02,94.78663334550522
2022-12-03,94.78663334550522
2022-12-04,94.78663334550522
2022-12-05,94.78663334550522
2022-12-06,94.78663334550522
2022-12-07,94.78663334550522
2022-12-08,94.78663334550522
2022-12-09,94.78663334550522
2022-12-10,94.78663334550522
2022-12-11,94.78663334550522
2022-12-12,94.78663334550522
2022-12-13,94.78663334550522
2022-12-14,94.78663334550522
2022-12-15,94.78663334550522
2022-12-16,94.78663334550522
2022-12-17,94.78663334550522
2022-12-18,94.78663334550522
2022-12-19,94.78663334550522
2022-12-20,94.78663334550522
2022-12-21,94.78663334550522
2022-12-22,94.78663334550522
2022-12-23,94.78663334550522
2022-12-24,94.78663334550522
2022-12-25,94.78663334550522
2022-12-26,94.78663334550522
2022-12-27,94.78663334550522
2022-12-28,94.78663334550522
2022-12-29,94.78663334550522
2022-12-30,94.78663334550522
2022-12-31,94.78663334550522
2023-01-01,94.78663334550522
2023-01-02,94.78663334550522
2023-01-03,94.78663334550522
2023-01-04,94.78663334550522
2023-01-05,94.78663334550522
2023-01-06,94.78663334550522
2023-01-07,94.78663334550522
2023-01-08,94.78663334550522
2023-01-09,94.78663334550522
2023-01-10,94.78663334550522
2023-01-11,94.78663334550522
2023-01-12,94.78663334550522
2023-01-13,94.78663334550522
2023-01-14,94.78663334550522
2023-01-15,94.78663334550522
2023-01-16,94.78663334550522
2023-01-17,94.78663334550522
2023-01-18,94.78663334550522
2023-01-19,94.78663334550522
2023-01-20,94.78663334550522
2023-01-21,94.78663334550522
2023-01-22,94.78663334550522
2023-01-23,94.78663334550522
2023-01-24,94.78663334550522
2023-01-25,94.78663334550522
2023-01-26,94.78663334550522
2023-01-27,94.78849034550522
2023-01-28,94.78849034550522
2023-01-29,94.78849034550522
2023-01-30,94.78849034550522
2023-01-31,94.78849034550522
2023-02-01,94.78849034550522
2023-02-02,94.78849034550522
2023-02-03,94.78849034550522
2023-02-04,94.78849034550522
2023-02-05,94.78849034550522
2023-02-06,94.78849034550522
2023-02-07,94.78849034550522
2023-02-08,94.78849034550522
2023-02-09,94.78849034550522
2023-02-10,94.78849034550522
2023-02-11,94.78849034550522
2023-02-12,94.78849034550522
2023-02-13,94.78849034550522
2023-02-14,94.78849034550522
2023-02-15,94.78849034550522
2023-02-16,94.78849034550522
2023-02-17,94.78849034550522
2023-02-18,94.78849034550522
2023-02-19,94.78849034550522
2023-02-20,94.78849034550522
2023-02-21,94.78849034550522
2023-02-22,94.78849034550522
2023-02-23,94.78849034550522
2023-02-24,94.78849034550522
2023-02-25,94.78849034550522
2023-02-26,94.78849034550522
2023-02-27,94.78849034550522
2023-02-28,94.78849034550522
2023-03-01,94.78849034550522
2023-03-02,94.78849034550522
2023-03-03,94.78849034550522
2023-03-04,94.78849034550522
2023-03-05,94.78849034550522
